Pos,Equipo,PJ,PG,PE,PP,Pts,GF,GC,DG
1,Atletico Tucuman,27,20,4,3,64,71,31,40
2,Boca Juniors,27,19,5,3,62,63,22,41
3,River Plate,27,18,5,4,59,61,28,33
4,Racing Club,27,18,4,5,58,63,25,38
5,Huracan,27,18,4,5,58,56,20,36
6,Gimnasia L.P.,27,17,5,5,56,57,28,29
7,San Lorenzo,27,17,5,5,56,54,30,24
8,Newells Old Boys,27,15,6,6,51,55,28,27
9,Patronato,27,14,6,7,48,46,40,6
10,Argentinos JRS,27,14,4,9,46,43,33,10
11,Talleres Cordoba,27,14,2,11,44,41,34,7
12,Tigre,27,12,7,8,43,50,35,15
13,Rosario Central,27,13,4,10,43,48,40,8
14,Independiente,27,12,5,10,41,38,38,0
15,Defensa Y Justicia,27,9,10,8,37,37,37,0
16,Godoy Cruz,27,11,3,13,36,47,44,3
17,Platense,27,8,9,10,33,34,48,-14
18,Central Cordoba de Santiago,27,9,4,14,31,38,47,-9
19,Arsenal Sarandi,27,8,7,12,31,38,48,-10
20,Union Santa Fe,27,7,5,15,26,32,56,-24
21,Barracas Central,27,7,4,16,25,30,50,-20
22,Colon Santa Fe,27,7,3,17,24,35,58,-23
23,Velez Sarsfield,27,6,4,17,22,41,64,-23
24,Estudiantes L.P.,27,5,5,17,20,28,63,-35
25,Banfield,27,5,4,18,19,24,56,-32
26,Sarmiento Junin,27,4,3,20,15,33,59,-26
27,Lanus,27,3,4,20,13,25,72,-47
28,Aldosivi,27,2,1,24,7,21,75,-54
